Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
27550 S DIXIE HWY,Homestead,MULTIFAMILY 10 UNITS PLUS,168067,336,NARANJA LAKES HOUSING PARTNERS LP,GA,"Delinquent ($18,500)",CRA: Naranja,4/6,"https://www.google.com/maps/search/?api=1&query=25.510958,-80.435761"
16241 NW 48 AVE,Miami Gardens,LIGHT MANUFACTURING,164254,328,E J FLORIDA PROPERTY LLC,GA,"Delinquent ($8,000)",OZ: 5.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.920851,-80.277721"
5959 NW 7 ST,Miami,HOSPITAL - PRIVATE,163692,327,MPT CORAL TERRACE STEWARD LLC,AL,"Delinquent ($18,500)",OZ: 57.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.778161,-80.293902"
2950 AVENTURA BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,158758,317,REGENCY CENTERS L P,TX,"Delinquent ($18,500)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.960662,-80.141428"
3380 NW 17 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,158664,317,PEARL APARTMENTS LTD,MA,"Delinquent ($18,500)",OZ: 24.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.80744,-80.224117"
2334 BISCAYNE BLVD,Miami,WAREHOUSE TERMINAL OR STG,157853,315,BMS OMNI LLC,CA,"Delinquent ($18,500)",OZ: 27.02,4/6,"https://www.google.com/maps/search/?api=1&query=25.800042,-80.189593"
14777 BISCAYNE BLVD,Hialeah,COMMUNITY SHOPPING CENTER,157573,315,BISCAYNE COMMONS (EDENS) LLC,SC,"Delinquent ($18,500)",OZ: 1.09,4/6,"https://www.google.com/maps/search/?api=1&query=25.911794,-80.155998"
7600 NW 26 ST,Miami,WAREHOUSE TERMINAL OR STG,157277,314,TERRENO 26TH STREET LLC,CA,"Delinquent ($18,500)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.797768,-80.319521"
1630 NW 70 AVE,Miami,WAREHOUSE TERMINAL OR STG,155914,311,DCT BOGGY CREEK FL LP,CO,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.789678,-80.310975"
318 NW 23 ST,Miami,WAREHOUSE TERMINAL OR STG,155237,310,MANNIGAN HOLDINGS LLC,NJ,"Delinquent ($18,500)",CRA: Omni,4/6,"https://www.google.com/maps/search/?api=1&query=25.798423,-80.202397"
6891 NW 74 ST,Miami,LIGHT MANUFACTURING,155061,310,FIRST INDUSTRIAL L P,IL,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.841066,-80.308385"
161 NW 6 ST,Miami,STORE,152894,305,B9 3MC RETAIL OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780059,-80.19727"
161 NW 6 ST,Miami,STORE,152894,305,B9 3MC RETAIL OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780221,-80.197623"
161 NW 6 ST,Miami,STORE,152894,305,B9 3MC RETAIL OWNER LLC,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,4/6,"https://www.google.com/maps/search/?api=1&query=25.780639,-80.19721"
3300 NW 11 CT,Miami,MULTIFAMILY 10 UNITS PLUS,152745,305,ALLAPATTAH GARDENS LTD,CA,"Delinquent ($8,000)",OZ: 25.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.808451,-80.214698"
7455 NW 22 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,149802,299,SCOTT CARVER IIB LTD PARTNERSHIP,MO,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 10.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.84273,-80.23188"
14075 BISCAYNE BLVD,Hialeah,DEPARTMENT STORE,149767,299,TARGET CORP,MN,"Delinquent ($18,500)",OZ: 1.09,4/6,"https://www.google.com/maps/search/?api=1&query=25.905956,-80.157218"
1825 COLLINS AVE,Miami Beach,HOTEL OR MOTEL,149189,298,HPT IHG-2 PROPERTIES TRUST,MA,"Delinquent ($18,500)",CRA: Miami Beach City Center,4/6,"https://www.google.com/maps/search/?api=1&query=25.7945,-80.12792"
6960 NW 36 AVE,Miami,WAREHOUSE TERMINAL OR STG,144675,289,MIAMI BUSINESS PARK LLC,CA,"Delinquent ($8,000)",OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.837476,-80.256099"
3022 NW 73 ST,Miami,WAREHOUSE TERMINAL OR STG,144330,288,TERRENO 73RD STREET LLC,CA,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.839505,-80.2461"
16700 NW 32 AVE,Miami Gardens,HEAVY INDUSTRIAL,144040,288,B F GOODRICH CO,CT,"Delinquent ($18,500)",OZ: 94,4/6,"https://www.google.com/maps/search/?api=1&query=25.926972,-80.253759"
2711 NE 211 ST,Miami Gardens,PARKING LOT/MOBILE HOME PARK,142604,285,MIAMI BEACH HEALTHCARE GROUP LTD,TN,"Delinquent ($8,000)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.971247,-80.14682"
2640 NW 79 ST,Miami,MULTIFAMILY 10 UNITS PLUS,142506,285,7755 NW 27TH AVENUE FL,IL,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 10.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.844587,-80.240184"
15801 NW 49 AVE,Hialeah,WAREHOUSE TERMINAL OR STG,142415,284,PALMETTO LAKES INDUSTRIAL,NJ,"Delinquent ($8,000)",OZ: 5.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.916955,-80.279703"
3315 NW 70 AVE,Miami,WAREHOUSE TERMINAL OR STG,142336,284,SECURITY CAPITAL INDUSTRIAL TR,CO,"Delinquent ($19,550)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.803148,-80.309901"
2910 NE 207 ST,Miami Gardens,HOTEL OR MOTEL,139417,278,PDOF AVENTURA 2910 LLC,GA,"Delinquent ($8,000)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.966961,-80.143237"
2910 NE 207 ST,Miami Gardens,HOTEL OR MOTEL,139417,278,PDOF AVENTURA 2910 LLC,GA,"Delinquent ($8,000)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.96711,-80.142948"
2301 NW 119 ST,Hialeah,MULTIFAMILY 10 UNITS PLUS,139369,278,WESTVIEW GARDENS PRESERVATION LTD,CA,"Delinquent ($18,500)",OZ: 4.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.884115,-80.237724"
16175 NW 49 AVE,Miami Gardens,WAREHOUSE TERMINAL OR STG,137565,275,NW 49TH AVENUE LLC,IL,"Delinquent ($18,500)",OZ: 5.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.92045,-80.279355"
20900 BISCAYNE BLVD,Miami Gardens,HOSPITAL - PRIVATE,136428,272,MIAMI BEACH HEALTHCARE GROUP LTD,TN,"Delinquent ($18,500)",OZ: 1.34,4/6,"https://www.google.com/maps/search/?api=1&query=25.969217,-80.144737"
21485 NW 27 AVE,Miami Gardens,HOTEL OR MOTEL,136365,272,AIDS HEALTHCARE FOUNDATION INC,CA,"Delinquent ($8,000)",CRA: Miami Gardens,4/6,"https://www.google.com/maps/search/?api=1&query=25.971014,-80.245308"
244 NW 72 TER,Miami,MULTIFAMILY 10 UNITS PLUS,135938,271,EMERALD TERRACE LTD PARTNERSHIP,MA,"Delinquent ($18,500)",OZ: 14.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.840995,-80.201801"
3108 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,134901,269,ATC PROPERTY OWNER LLC,CT,"Delinquent ($19,550)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.803695,-80.314149"
27200 S DIXIE HWY,Homestead,WAREHOUSE TERMINAL OR STG,134799,269,EXTRA SPACE PROPERTIES EIGHTY,UT,"Delinquent ($8,000)",CRA: Naranja,4/6,"https://www.google.com/maps/search/?api=1&query=25.514577,-80.432305"
1905 NW 74 STREET TER,Miami,MULTIFAMILY 10 UNITS PLUS,133901,267,SCOTT CARVER IIB LTD PARTNERSHIP,MO,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 10.04,4/6,"https://www.google.com/maps/search/?api=1&query=25.842389,-80.2308"
700 NE 2 AVE,Miami,HOTEL OR MOTEL,132618,265,OSIB MIAMI WORLDCENTER,NY,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,4/6,"https://www.google.com/maps/search/?api=1&query=25.78148,-80.190761"
7340 NW 25 ST,Miami,WAREHOUSE TERMINAL OR STG,131194,262,UNITED PARCEL SERVICE INC,GA,"Delinquent ($8,000)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.796008,-80.317032"
7007 NW 37 AVE,Miami,WAREHOUSE TERMINAL OR STG,130794,261,MIAMI BUSINESS PARK LLC,CA,"Delinquent ($18,500)",OZ: 9.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.837353,-80.257366"
33001 S DIXIE HWY,Florida City,STORE,130077,260,HOME DEPOT USA INC,GA,"Delinquent ($18,500)",CRA: Florida City,4/6,"https://www.google.com/maps/search/?api=1&query=25.46048,-80.473567"
15555 W DIXIE HWY,Hialeah,WAREHOUSE TERMINAL OR STG,129499,258,15555 W DIXIE LLC,CA,"Delinquent ($18,500)",OZ: 2.06,4/6,"https://www.google.com/maps/search/?api=1&query=25.919253,-80.158265"
10425 MARLIN RD,Homestead,WHOLESALE OUTLET,129488,258,GS CUTLER BAY LLC,MA,"Delinquent ($18,500)",CRA: West Perrine,4/6,"https://www.google.com/maps/search/?api=1&query=25.591934,-80.359314"
1880 NE 123 ST,North Miami,WAREHOUSE TERMINAL OR STG,129121,258,CUBESMART LP,PA,"Delinquent ($8,000)",CRA: North Miami,4/6,"https://www.google.com/maps/search/?api=1&query=25.888938,-80.160234"
8150 NW 76 AVE,Miami,WAREHOUSE TERMINAL OR STG,127203,254,SPG NW 76TH LLC,PA,"Delinquent ($18,500)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.849134,-80.321247"
1704 NW 3 TER,Miami-Dade County,MULTIFAMILY 10 UNITS PLUS,125800,251,CAMERON CREEK PRESERVATION LTD,CA,"Delinquent ($18,500)",OZ: 114.03,4/6,"https://www.google.com/maps/search/?api=1&query=25.452373,-80.499936"
3405 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,123797,247,AMB PROPERTY LP,CO,"Delinquent ($24,800)",OZ: 91,4/6,"https://www.google.com/maps/search/?api=1&query=25.805762,-80.310219"
19400 SW 106 AVE,Homestead,STORE,123470,246,HOME DEPOT USA INC,GA,"Delinquent ($8,000)",CRA: West Perrine,4/6,"https://www.google.com/maps/search/?api=1&query=25.584956,-80.365565"
30215 S DIXIE HWY,Miami-Dade County,WAREHOUSE TERMINAL OR STG,121494,242,U HAUL CO OF FLORIDA,AZ,"Delinquent ($18,500)",OZ: 110.01,4/6,"https://www.google.com/maps/search/?api=1&query=25.485588,-80.458194"
19525 BISCAYNE BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,1655191,3310,AVENTURA MALL VENTURE LESSOR,FL,"Delinquent ($18,500)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.9583,-80.141024"
19525 BISCAYNE BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,1655191,3310,AVENTURA MALL VENTURE LESSOR,FL,"Delinquent ($18,500)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.955487,-80.142186"
21451 NW 47 AVE,Miami Gardens,WAREHOUSE TERMINAL OR STG,1593553,3187,MG WESTSIDE LLC,FL,"Delinquent ($18,500)",CRA: Miami Gardens + OZ: 100.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.966657,-80.275516"
25 NE 5 ST,Miami,MULTIFAMILY 10 UNITS PLUS,1544491,3088,5 PLAZA LLC,FL,"Delinquent ($23,750)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.779232,-80.193361"
1424 NE MIAMI PL,Miami,MULTIFAMILY 10 UNITS PLUS,1262330,2524,14 PLAZA CORP,FL,"Delinquent ($18,500)",CRA: Omni,3/6,"https://www.google.com/maps/search/?api=1&query=25.788619,-80.193482"
2900 BISCAYNE BLVD,Miami,MIXED USE-STORE/RESIDENTIAL,1076188,2152,OZPC NO 1 2900 BISCAYNE BLVD LLC,FL,"Delinquent ($8,000)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.804734,-80.189857"
650 NE 2 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,1014031,2028,ZM MWC OWNER LLC,FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.780791,-80.190895"
58 NE 14 ST,Miami,MULTIFAMILY 10 UNITS PLUS,990766,1981,ART PLAZA LLC,FL,"Delinquent ($18,500)",CRA: Omni,3/6,"https://www.google.com/maps/search/?api=1&query=25.787946,-80.192878"
14100 BISCAYNE BLVD,North Miami,AUTOMOTIVE OR MARINE,937907,1875,COUNTYLINE AUTO CENTER INC,FL,"Delinquent ($18,500)",CRA: North Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.905996,-80.160385"
245 NE 14 ST,Miami,MULTIFAMILY 10 UNITS PLUS,909126,1818,OPERA PLAZA LLC,FL,"Delinquent ($18,500)",CRA: Omni,3/6,"https://www.google.com/maps/search/?api=1&query=25.788462,-80.190366"
2301 LAGUNA CIR,North Miami,MULTIFAMILY 10 UNITS PLUS,845401,1690,OPLH IV LLC,FL,"Delinquent ($19,550)",CRA: North Miami + OZ: 1.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.912112,-80.151923"
19565 BISCAYNE BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,841690,1683,AVENTURA MALL VENTURE LESSOR,FL,"Delinquent ($23,750)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.958602,-80.142625"
50 NE 9 ST,Miami,OFFICE BUILDING - MULTISTORY,790173,1580,VERIZON DATA CENTERS V LLC,FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.782364,-80.193032"
2220 NE 2 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,790139,1580,CARDINAL PLAZA CORP,FL,"Delinquent ($18,500)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.798435,-80.191873"
2220 NE 2 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,790139,1580,CARDINAL PLAZA CORP,FL,"Delinquent ($18,500)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.798483,-80.191349"
1601 COLLINS AVE,Miami Beach,HOTEL OR MOTEL,789479,1578,MB REDEVELOPMENT LLC,FL,"Delinquent ($18,500)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.78921,-80.129178"
3401 N MIAMI AVE,Miami,REGIONAL SHOPPING CENTER,763761,1527,CCB ASSOCIATES 39 LLC,FL,"Delinquent ($18,500)",CRA: Midtown Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.809631,-80.194363"
19501 BISCAYNE BLVD,Miami Gardens,DEPARTMENT STORE,697157,1394,AVENTURA MALL VENTURE,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.959598,-80.143709"
47 NE 15 ST,Miami,MULTIFAMILY 10 UNITS PLUS,690466,1380,MIAMI PLAZA LLC,FL,"Delinquent ($18,500)",CRA: Omni + OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.78957,-80.193578"
20505 S DIXIE HWY,Homestead,COMMUNITY SHOPPING CENTER,688723,1377,BH SOUTH DIXIE SL MALL LLC,FL,"Delinquent ($8,000)",OZ: 106.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.57409,-80.367064"
7900 NW 27 AVE,Miami,COMMUNITY SHOPPING CENTER,680945,1361,NORTHSIDE CENTRE LLC,FL,"Delinquent ($18,500)",CRA: NW 79th Street,3/6,"https://www.google.com/maps/search/?api=1&query=25.847777,-80.242943"
16401 NW 37 AVE,Miami Gardens,EDUCATIONAL/SCIENTIFIC - EX,649901,1299,ST THOMAS UNIVERSITY INC,FL,"Delinquent ($18,500)",OZ: 5.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.924807,-80.256121"
915 NW 1 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,639456,1278,PARK PLACE ASSOC LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.783262,-80.194947"
14695 NE 18 AVE,North Miami,MULTIFAMILY 10 UNITS PLUS,606000,1212,YMP CENTER COURT LLC,FL,"Delinquent ($18,500)",CRA: North Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.912435,-80.162783"
19505 BISCAYNE BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,599433,1198,BOULEVARD STEP VENTURES LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.955056,-80.142915"
2300 NE 151 ST,North Miami,AUTOMOTIVE OR MARINE,591581,1183,CITY OF NORTH MIAMI,FL,"Delinquent ($23,750)",CRA: North Miami + OZ: 1.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.91457,-80.153851"
2145 NE 164 ST,North Miami Beach,MULTIFAMILY 10 UNITS PLUS,555469,1110,NORTH MB OWNER LLC,FL,"Delinquent ($19,550)",CRA: North Miami Beach,3/6,"https://www.google.com/maps/search/?api=1&query=25.92787,-80.157441"
340 W FLAGLER ST,Miami,MULTIFAMILY 10 UNITS PLUS,551392,1102,RIVER PLAZA CORP,FL,"Delinquent ($18,500)",OZ: 36.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.773569,-80.199984"
N/A,Miami,PARKING LOT/MOBILE HOME PARK,526183,1052,SAWYER'S LANDING COMM DEV DIST,FL,"Delinquent ($9,050)",CRA: SE  Overtown/Park West + OZ: 34,3/6,"https://www.google.com/maps/search/?api=1&query=25.780455,-80.198993"
12640 NE 12 AVE,North Miami,MULTIFAMILY 10 UNITS PLUS,521002,1042,OMEGA INVESTORS GROUP LLC,FL,"Delinquent ($18,500)",CRA: North Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.892169,-80.175587"
5701 SW 72 ST,Cutler Bay,REGIONAL SHOPPING CENTER,516656,1033,SUNSET OPPORTUNITIES B1 LLC,FL,"Delinquent ($8,000)",OZ: 76.03,3/6,"https://www.google.com/maps/search/?api=1&query=25.70575,-80.286229"
4200 NW 167 ST,Miami Gardens,WAREHOUSE TERMINAL OR STG,513327,1026,CAPO & SONS CORP,FL,"Delinquent ($18,500)",OZ: 5.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.923341,-80.270114"
850 NE 2 AVE,Miami,STORE,510504,1021,MWC RETAIL LLC,FL,"Delinquent ($19,550)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.78259,-80.191243"
888 NE 2 AVE,Miami,PARKING LOT/MOBILE HOME PARK,510504,1021,"MWC GARAGE, LLC",FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.782513,-80.190995"
15000 BISCAYNE BLVD,Hialeah,EDUCATIONAL/SCIENTIFIC - EX,507198,1014,DEPT OF NATURAL RESOURCES,FL,"Delinquent ($8,000)",OZ: 1.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.911219,-80.141128"
17945 SW 97 AVE,Cutler Bay,MULTIFAMILY 10 UNITS PLUS,504698,1009,FCI PALMETTO BAY LLC,FL,"Delinquent ($18,500)",OZ: 82.08,3/6,"https://www.google.com/maps/search/?api=1&query=25.603176,-80.347817"
7665 NW 19 ST,Miami,INSURANCE COMPANY,499254,998,SPUS7 MIAMI ACC LAND LP,FL,"Delinquent ($8,000)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.791509,-80.319839"
2060 BISCAYNE BLVD,Miami,AUTOMOTIVE OR MARINE,473168,946,2060 BISCAYNE BLVD LLC,FL,"Delinquent ($18,500)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.796579,-80.190022"
18224 NW 27 AVE,Miami Gardens,COMMUNITY SHOPPING CENTER,434146,868,GARDENS AND 27 LLC,FL,"Delinquent ($18,500)",CRA: Miami Gardens + OZ: 94,3/6,"https://www.google.com/maps/search/?api=1&query=25.939046,-80.247021"
4 S KROME AVE,Homestead,PARKING LOT/MOBILE HOME PARK,431236,862,CITY OF HOMESTEAD,FL,"Delinquent ($18,500)",CRA: Homestead + OZ: 113,3/6,"https://www.google.com/maps/search/?api=1&query=25.469181,-80.478163"
9500 SW 174 ST,Cutler Bay,MULTIFAMILY 10 UNITS PLUS,428116,856,PALMETTO VENTURE PARTNERS LLC,FL,"Delinquent ($18,500)",OZ: 82.08,3/6,"https://www.google.com/maps/search/?api=1&query=25.607712,-80.345595"
18412 HOMESTEAD AVE,Homestead,MULTIFAMILY 10 UNITS PLUS,426436,852,184 HOLDINGS LLC,FL,"Delinquent ($18,500)",CRA: West Perrine,3/6,"https://www.google.com/maps/search/?api=1&query=25.598133,-80.357442"
240 N MIAMI AVE,Miami,MULTIFAMILY 10 UNITS PLUS,415140,830,GRAND STATION PARTNERS LLC,FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.776759,-80.193939"
240 N MIAMI AVE,Miami,MULTIFAMILY 10 UNITS PLUS,415140,830,GRAND STATION PARTNERS LLC,FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.776692,-80.193962"
250 NE 25 ST,Miami,MULTIFAMILY 10 UNITS PLUS,414493,828,25 PLAZA CORP,FL,"Delinquent ($8,000)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.800632,-80.189862"
5246 NE 2 AVE,Miami,HOSPITAL - PRIVATE,409333,818,MIA JEWISH HOME & HOSP FOR AGED,FL,"Delinquent ($8,000)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.823939,-80.192236"
14650 NW 37 AVE,Hialeah,WAREHOUSE TERMINAL OR STG,393572,787,MIAMI-DADE COUNTY,FL,"Delinquent ($13,250)",OZ: 9808,3/6,"https://www.google.com/maps/search/?api=1&query=25.910391,-80.259139"
651 NE 1 AVE,Miami,PARKING LOT/MOBILE HOME PARK,389835,779,MWC GARAGE H LLC,FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.780785,-80.191952"
651 NE 1 AVE,Miami,PARKING LOT/MOBILE HOME PARK,389835,779,MWC GARAGE H LLC,FL,"Delinquent ($18,500)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.780927,-80.191189"
4255 NW 156 ST,Hialeah,EDUCATIONAL/SCIENTIFIC - EX,389450,778,FLORIDA MEMORIAL UNIVERSITY INC,FL,"Delinquent ($18,500)",OZ: 5.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.918188,-80.270912"
25850 SW 140 CT,Homestead,MULTIFAMILY 10 UNITS PLUS,382355,764,MUVHOME26 LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.528691,-80.417387"
2200 SOLE MIA SQUARE LN,North Miami,MULTIFAMILY 10 UNITS PLUS,379726,759,SM PARCEL B LLC,FL,"Delinquent ($18,500)",CRA: North Miami + OZ: 1.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.909014,-80.152541"
16165 S DIXIE HWY,Cutler Bay,AUTOMOTIVE OR MARINE,376983,753,SOUTH MOTOR COMPANY OF DADE CO,FL,"Delinquent ($18,500)",OZ: 82.08,3/6,"https://www.google.com/maps/search/?api=1&query=25.619007,-80.344621"
1642 NE 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,374672,749,UNI 17TH STREET LLC,FL,"Delinquent ($18,500)",CRA: Omni + OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.791525,-80.192758"
7675 NW 80 TER,Miami,WAREHOUSE TERMINAL OR STG,374086,748,TA PALMETTO LOGISTICS,FL,"Delinquent ($8,000)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.845677,-80.320411"
645 IVES DAIRY RD,Miami Gardens,MULTIFAMILY 10 UNITS PLUS,369472,738,FIFTEEN FLA MULTIFAMILY LLC,FL,"Delinquent ($18,500)",OZ: 98.07,3/6,"https://www.google.com/maps/search/?api=1&query=25.962157,-80.189184"
1691 MICHIGAN AVE,Miami Beach,OFFICE BUILDING - MULTISTORY,363061,726,RK RIVANI LLC LEASEE,FL,"Delinquent ($23,750)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.791357,-80.138238"
234 NE 79 ST,Miami,MULTIFAMILY 10 UNITS PLUS,361770,723,LUBINS DEVELOPMENT CORP,FL,"Delinquent ($18,500)",OZ: 14.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.846979,-80.192267"
21500 BISCAYNE BLVD,Miami Gardens,OFFICE BUILDING - MULTISTORY,353970,707,OPTIMA INTERNATIONAL LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.974362,-80.143727"
