Address,City,Property Type,Building Sq Ft,Estimated Units,Owner Name,Owner State,Tax Status,Zones,Distress Score,Google Maps Link
7300 NW 19 ST,Miami,OFFICE BUILDING - MULTISTORY,353374,706,SPUS7 MIAMI ACC LAND LP,FL,"Delinquent ($18,500)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.790749,-80.315596"
2500 BISCAYNE BLVD,Miami,MULTIFAMILY 10 UNITS PLUS,351060,702,RESPARK WYNWOOD BAY LLC,FL,"Delinquent ($8,000)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.801241,-80.18967"
2201 SOLE MIA SQUARE LN,North Miami,MULTIFAMILY 10 UNITS PLUS,344457,688,SM PARCEL A LLC,FL,"Delinquent ($8,000)",CRA: North Miami + OZ: 1.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.910075,-80.152843"
2115 N MIAMI AVE,Miami,MIXED USE-STORE/RESIDENTIAL,336644,673,PRH N MIAMI LLC,FL,"Delinquent ($8,000)",CRA: Omni,3/6,"https://www.google.com/maps/search/?api=1&query=25.797381,-80.194445"
20401 BISCAYNE BLVD,Miami Gardens,REGIONAL SHOPPING CENTER,328952,657,PROMVENTURE LIMITED PARTNERSHIP,FL,"Delinquent ($18,500)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.966041,-80.144703"
5060 NE 2 AVE,Miami,HOSPITAL - PRIVATE,327338,654,MIAMI JEWISH HOME & HOSPITAL,FL,"Delinquent ($18,500)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.823231,-80.194601"
23 NE 17 TER,Miami,MULTIFAMILY 10 UNITS PLUS,325757,651,WYNWOOD HAUS LLC,FL,"Delinquent ($18,500)",CRA: Omni + OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.792635,-80.194437"
50 NE 32 ST,Miami,PARKING LOT/MOBILE HOME PARK,324208,648,MIDTOWN MIAMI COMMUNITY DEV,FL,"Delinquent ($19,550)",CRA: Midtown Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.806548,-80.19401"
162 NE 25 ST,Miami,MULTIFAMILY 10 UNITS PLUS,317572,635,26 PLAZA CORP,FL,"Delinquent ($8,000)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.800554,-80.19155"
2900 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,314776,629,MIAMI AIRPORT IND EQUITIES &ETALS,FL,"Delinquent ($8,000)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.802108,-80.313508"
5900 NW 74 AVE,Miami,WAREHOUSE TERMINAL OR STG,314441,628,COSTEX CORPORATION,FL,"Delinquent ($8,000)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.827334,-80.319445"
13720 SW 272 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,313656,627,PSG SOUTH POINTE,FL,"Delinquent ($18,500)",CRA: Naranja,3/6,"https://www.google.com/maps/search/?api=1&query=25.514051,-80.413162"
12851 SW 242 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,313019,626,WINDMILL FARMS ASSOCIATES LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.543033,-80.399565"
2150 N MIAMI AVE,Miami,MIXED USE-STORE/RESIDENTIAL,303688,607,PRH N MIAMI LLC,FL,"Delinquent ($18,500)",CRA: Omni,3/6,"https://www.google.com/maps/search/?api=1&query=25.797899,-80.195425"
225 NE 23 ST,Miami,MULTIFAMILY 10 UNITS PLUS,302988,605,WYNWOOD TOWER APTS LTD,FL,"Delinquent ($18,500)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.799703,-80.190456"
12555 NW 27 AVE,Hialeah,MULTIFAMILY 10 UNITS PLUS,302179,604,KINGS TERRACE LLC,FL,"Delinquent ($18,500)",OZ: 4.04,3/6,"https://www.google.com/maps/search/?api=1&query=25.888358,-80.242051"
1901 COLLINS AVE,Miami Beach,HOTEL OR MOTEL,300128,600,SHORE CLUB TRUSTEE LLC TRS,FL,"Delinquent ($8,000)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.79496,-80.128411"
90 NE 41 ST,Miami,PARKING LOT/MOBILE HOME PARK,296300,592,PARADISE PLAZA ASSOCIATES LLC,FL,"Delinquent ($18,500)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.813986,-80.193806"
1373 NW 35 ST,Miami,MULTIFAMILY 10 UNITS PLUS,291988,583,ALLAPATTAH RESIDENTIAL LP,FL,"Delinquent ($18,500)",OZ: 25.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.809265,-80.21948"
20807 BISCAYNE BLVD,Miami Gardens,OFFICE BUILDING - MULTISTORY,290319,580,AVENTURA PROPERTY OWNER LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.968773,-80.142022"
610 NW 60 ST,Miami,MULTIFAMILY 10 UNITS PLUS,275769,551,TACOLCY EDISON GARDENS LLC,FL,"Delinquent ($8,000)",OZ: 19.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.829741,-80.206628"
19495 BISCAYNE BLVD,Miami Gardens,OFFICE BUILDING - MULTISTORY,272392,544,OTP CAPITAL LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.955658,-80.145863"
15000 SW 272 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,269238,538,AMBAR TRAIL LTD,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.513799,-80.434264"
2340 COLLINS AVE,Miami Beach,OFFICE BUILDING - MULTISTORY,266786,533,NORTH BAY OWNER LLC,FL,"Delinquent ($8,000)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.799065,-80.128273"
180 NE 39 ST,Miami,COMMUNITY SHOPPING CENTER,264272,528,OAK PLAZA ASSOCIATES (DEL) LLC,FL,"Delinquent ($8,000)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.812191,-80.192055"
1551 NE 167 ST,North Miami Beach,MULTIFAMILY 10 UNITS PLUS,264056,528,GRAND ISLAND SQUARE LLC,FL,"Delinquent ($18,500)",CRA: North Miami Beach,3/6,"https://www.google.com/maps/search/?api=1&query=25.929833,-80.16927"
1550 COLLINS AVE,Miami Beach,MIXED USE-STORE/RESIDENTIAL,261800,523,CITY OF MIAMI BEACH,FL,"Delinquent ($18,500)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.788943,-80.130725"
408 LINCOLN RD,Miami Beach,OFFICE BUILDING - MULTISTORY,256729,513,420 LINCOLN RD ASSOCIATES LTD,FL,"Delinquent ($8,000)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.790231,-80.132491"
13700 SW 256 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,256176,512,BIG SOPHIA FL LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.528329,-80.413332"
5600 NE 4 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,253478,506,PINNACLE PLACE LTD,FL,"Delinquent ($18,500)",OZ: 20.04,3/6,"https://www.google.com/maps/search/?api=1&query=25.827649,-80.188366"
27077 S FEDERAL HWY,Homestead,MULTIFAMILY 10 UNITS PLUS,253088,506,RICHMAN SOUTH MIAMI DEVELOPMENT,FL,"Delinquent ($18,500)",CRA: Naranja,3/6,"https://www.google.com/maps/search/?api=1&query=25.514965,-80.429605"
7600 NW 19 ST,Miami,OFFICE BUILDING - MULTISTORY,252907,505,SPUS7 MIAMI ACC LAND LP,FL,"Delinquent ($18,500)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.791035,-80.319177"
16051 S DIXIE HWY,Cutler Bay,COMMUNITY SHOPPING CENTER,251016,502,EYP SOUTH DADE LLC,FL,"Delinquent ($18,500)",OZ: 82.08,3/6,"https://www.google.com/maps/search/?api=1&query=25.621482,-80.34264"
1 LINCOLN RD HOTEL,Miami Beach,HOTEL OR MOTEL,250000,500,DI LIDO BEACH HOTEL CORP,FL,"Delinquent ($18,500)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.791438,-80.129019"
14570 SW 280 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,249509,499,VILLA CAPRI ASSOCIATES LTD,FL,"Delinquent ($23,750)",CRA: Naranja,3/6,"https://www.google.com/maps/search/?api=1&query=25.505712,-80.427181"
825 NW 5 AVE,Florida City,MULTIFAMILY 10 UNITS PLUS,245349,490,SOLIMAR ASSOCIATES LTD,FL,"Delinquent ($18,500)",CRA: Florida City + OZ: 113,3/6,"https://www.google.com/maps/search/?api=1&query=25.457965,-80.481965"
7901 NW 7 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,242558,485,PINNACLE PARK LTD,FL,"Delinquent ($18,500)",OZ: 10.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.84721,-80.208645"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.780156,-80.195627"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.777388,-80.195807"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.777612,-80.195625"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.778053,-80.195554"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.778235,-80.195876"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.778234,-80.195782"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.778144,-80.195625"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.778606,-80.195729"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.779238,-80.19599"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.779264,-80.195889"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.779727,-80.195998"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.779231,-80.195729"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.78037,-80.195852"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.780433,-80.195961"
350 NW 1 AVE,Miami,STORE,241508,483,DTS DT RETAIL LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West,3/6,"https://www.google.com/maps/search/?api=1&query=25.780557,-80.195731"
5725 NW 2 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,236193,472,BRM SOUTHEAST LAND HOLDINGS LLC,FL,"Delinquent ($18,500)",OZ: 20.03,3/6,"https://www.google.com/maps/search/?api=1&query=25.828177,-80.199943"
20801 BISCAYNE BLVD,Miami Gardens,OFFICE BUILDING - MULTISTORY,235123,470,AVENTURA PROPERTY OWNER LLC,FL,"Delinquent ($18,500)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.968072,-80.143509"
3800 NE 1 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,234771,469,OAK PLAZA ASSOCIATES DEL LLC,FL,"Delinquent ($8,000)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.812055,-80.193959"
5900 NW 7 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,234197,468,TACOLCY TUSCANY COVE I LLLP,FL,"Delinquent ($18,500)",OZ: 19.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.830128,-80.209035"
135 NE 20 TER,Miami,AUTOMOTIVE OR MARINE,228529,457,BRAMAN LEIBOWITZ SERVICE AND,FL,"Delinquent ($8,000)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.796631,-80.192073"
1600 NE 135 ST,North Miami,MULTIFAMILY 10 UNITS PLUS,228242,456,FOREST PLACE LLC,FL,"Delinquent ($8,000)",CRA: North Miami + OZ: 2.20,3/6,"https://www.google.com/maps/search/?api=1&query=25.899818,-80.16613"
26210 PARKER AVE,Homestead,MULTIFAMILY 10 UNITS PLUS,227738,455,27077 SFH LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.523205,-80.422764"
14155 SW 288 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,225691,451,BISCAYNE DRIVE LLC,FL,"Delinquent ($18,500)",CRA: Naranja,3/6,"https://www.google.com/maps/search/?api=1&query=25.500664,-80.419859"
1781 NW 23 TER,Miami,MULTIFAMILY 10 UNITS PLUS,224852,449,THE YOUNG MENS CHRISTIAN,FL,"Delinquent ($18,500)",OZ: 24.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.799172,-80.224784"
6910 NW 12 ST,Miami,WAREHOUSE TERMINAL OR STG,221399,442,AJA PROPERTIES NO 8 LTD,FL,"Delinquent ($8,000)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.782503,-80.309858"
755 NW 67 ST,Miami,MULTIFAMILY 10 UNITS PLUS,217875,435,THE VILLAGE MIAMI LLC,FL,"Delinquent ($18,500)",OZ: 19.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.837015,-80.210148"
3325 NW 62 ST,Miami,FOOD PROCESSING,216109,432,TRUJILLO BROTHERS OF MIAMI DADE,FL,"Delinquent ($18,500)",OZ: 9.03,3/6,"https://www.google.com/maps/search/?api=1&query=25.831471,-80.252363"
3520 NW 72 AVE,Miami,WAREHOUSE TERMINAL OR STG,213456,426,WHITEFIELD & BLOOM CO,FL,"Delinquent ($18,500)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.806971,-80.314136"
1470 NW 36 ST,Miami,MULTIFAMILY 10 UNITS PLUS,213189,426,TCG ALLAPATTAH 14 LLC,FL,"Delinquent ($8,000)",OZ: 25.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.809335,-80.221213"
1657 N MIAMI AVE,Miami,MULTIFAMILY 10 UNITS PLUS,210658,421,FSL DEVELOPMENT LLC,FL,"Delinquent ($18,500)",CRA: Omni + OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.791475,-80.194239"
120 NE 8 ST,Homestead,COMMUNITY SHOPPING CENTER,208951,417,SARRIA HOLDINGS IV INC,FL,"Delinquent ($8,000)",CRA: Homestead + OZ: 111.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.476267,-80.472543"
7924 NE 2 AVE,Miami,HOTEL OR MOTEL,208527,417,MD 79TH HOLDING LLC,FL,"Delinquent ($18,500)",OZ: 14.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.848191,-80.193366"
4141 NE 2 AVE,Miami,MIXED USE-STORE/RESIDENTIAL,207948,415,DACRA DESIGN 4141 LLC,FL,"Delinquent ($18,500)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.814506,-80.190904"
26655 SW 142 AVE,Homestead,MULTIFAMILY 10 UNITS PLUS,201678,403,HARBOUR SPRINGS,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.519427,-80.42037"
1400 NW 54 ST,Miami,MULTIFAMILY 10 UNITS PLUS,200793,401,C4 GATEWAY LLC,FL,"Delinquent ($18,500)",OZ: 19.04,3/6,"https://www.google.com/maps/search/?api=1&query=25.8243,-80.220836"
10362 SW 212 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,200048,400,CUTLER HAMMOCK PRESERVATION LP,FL,"Delinquent ($18,500)",OZ: 106.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.56816,-80.358962"
14301 SW 268 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,199350,398,THE LANDINGS AT CORAL TOWN,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.518346,-80.423268"
5700 NW 37 AVE,Miami,WAREHOUSE TERMINAL OR STG,196766,393,PERRINE MARLIN INC,FL,"Delinquent ($18,500)",OZ: 17.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.827383,-80.258431"
8300 NE 1 PL,Hialeah,MULTIFAMILY 10 UNITS PLUS,196744,393,PINNACLE SQUARE LTD,FL,"Delinquent ($8,000)",OZ: 14.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.85177,-80.194113"
1155 NE 137 ST,North Miami,MULTIFAMILY 10 UNITS PLUS,193949,387,WEST DIXIE TOWERS INC,FL,"Delinquent ($18,500)",CRA: North Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.902419,-80.175813"
340 23 ST,Miami Beach,AUTOMOTIVE OR MARINE,193330,386,CITY OF MIAMI BEACH,FL,"Delinquent ($8,000)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.798698,-80.129802"
2401 NW 69 ST,Miami,WAREHOUSE TERMINAL OR STG,192866,385,RLF I C SPE LLC,FL,"Delinquent ($18,500)",CRA: NW 79th Street + OZ: 15.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.837916,-80.238236"
5035 NE 2 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,190523,381,SPV J AND S NV LLC,FL,"Delinquent ($8,000)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.824065,-80.189379"
5255 NW 159 ST,Hialeah,WAREHOUSE TERMINAL OR STG,190397,380,AG RC III PALMETTO LAKES,FL,"Delinquent ($8,000)",OZ: 5.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.91903,-80.285365"
13701 SW 270 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,190384,380,HIDDEN GROVE HOUSING L P,FL,"Delinquent ($18,500)",CRA: Naranja,3/6,"https://www.google.com/maps/search/?api=1&query=25.515481,-80.415135"
19950 W COUNTRY CLUB DR,Miami Gardens,OFFICE BUILDING - MULTISTORY,189679,379,CABI AVENTURA OFFICES LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.960445,-80.139972"
13105 SW 248 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,189008,378,HTG PRINCETON PARK LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.53856,-80.405578"
4400 NW 74 AVE,Miami,LIGHT MANUFACTURING,187860,375,F A M WAREHOUSE CORP,FL,"Delinquent ($18,500)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.814887,-80.319148"
1698 ALTON RD,Miami Beach,MIXED USE-STORE/RESIDENTIAL,184875,369,1698 ALTON ROAD VENTURES LLC,FL,"Delinquent ($8,000)",CRA: Miami Beach City Center,3/6,"https://www.google.com/maps/search/?api=1&query=25.791867,-80.141511"
1977 NE 8 ST,Miami-Dade County,WAREHOUSE TERMINAL OR STG,184419,368,STOR ALL NE 8TH STREET LLC,FL,"Delinquent ($18,500)",OZ: 110.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.478242,-80.451266"
13735 SW 262 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,184135,368,THE AVENUE AT NARANJA LLC,FL,"Delinquent ($8,000)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.524251,-80.413651"
14381 SW 268 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,183633,367,THE HEIGHTS AT CORAL TOWN PRK LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.519194,-80.424468"
8600 NW S RIVER DR,Hialeah,LIGHT MANUFACTURING,182379,364,WMG MEDLEY OWNER LLC,FL,"Delinquent ($8,000)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.850742,-80.32083"
24101 S DIXIE HWY,Homestead,MULTIFAMILY 10 UNITS PLUS,180872,361,PINE GROVE APTS LLC,FL,"Delinquent ($18,500)",CRA: Naranja Expansion,3/6,"https://www.google.com/maps/search/?api=1&query=25.542438,-80.403182"
222 NE 25 ST,Miami,MULTIFAMILY 10 UNITS PLUS,180646,361,SECOND PLAZA CORP,FL,"Delinquent ($18,500)",OZ: 27.02,3/6,"https://www.google.com/maps/search/?api=1&query=25.800542,-80.19074"
14408 SW 280 ST,Homestead,MULTIFAMILY 10 UNITS PLUS,179600,359,VILLA CAPRI II ASSOCIATES LTD,FL,"Delinquent ($18,500)",CRA: Naranja,3/6,"https://www.google.com/maps/search/?api=1&query=25.504502,-80.425325"
151 NE 41 ST,Miami,COMMUNITY SHOPPING CENTER,179418,358,PARADISE PLAZA ASSOCIATES LLC,FL,"Delinquent ($18,500)",OZ: 22.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.814383,-80.193062"
1000 NW 1 AVE,Miami,MULTIFAMILY 10 UNITS PLUS,179072,358,ARK DEVELOPMENT/OVERTOWN I LLC,FL,"Delinquent ($8,000)",CRA: SE  Overtown/Park West + OZ: 34,3/6,"https://www.google.com/maps/search/?api=1&query=25.783913,-80.196584"
2750 W 68 ST,Hialeah,COMMUNITY SHOPPING CENTER,178500,357,SARRIA HOLDINGS INC,FL,"Delinquent ($18,500)",OZ: 134,3/6,"https://www.google.com/maps/search/?api=1&query=25.882975,-80.338433"
2035 N MIAMI AVE,Miami,MULTIFAMILY 10 UNITS PLUS,178429,356,WYNWOOD WORKS LLC,FL,"Delinquent ($18,500)",CRA: Omni,3/6,"https://www.google.com/maps/search/?api=1&query=25.796312,-80.194644"
1595 NE 135 ST,North Miami,MULTIFAMILY 10 UNITS PLUS,177771,355,PAUL FELDMAN PA TRS,FL,"Delinquent ($8,000)",CRA: North Miami,3/6,"https://www.google.com/maps/search/?api=1&query=25.900612,-80.167212"
2920 NE 207 ST,Miami Gardens,PARKING LOT/MOBILE HOME PARK,177699,355,PARKSQUARE GARAGE LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.966452,-80.142889"
2920 NE 207 ST,Miami Gardens,PARKING LOT/MOBILE HOME PARK,177699,355,PARKSQUARE GARAGE LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.966595,-80.143306"
2920 NE 207 ST,Miami Gardens,PARKING LOT/MOBILE HOME PARK,177699,355,PARKSQUARE GARAGE LLC,FL,"Delinquent ($8,000)",OZ: 1.34,3/6,"https://www.google.com/maps/search/?api=1&query=25.966685,-80.142783"
4775 NW 157 ST,Hialeah,WAREHOUSE TERMINAL OR STG,176052,352,PALMETTO LAKES INVESTORS LLC,FL,"Delinquent ($18,500)",OZ: 5.01,3/6,"https://www.google.com/maps/search/?api=1&query=25.91709,-80.277537"
21343 NW 2 AVE,Miami Gardens,REGIONAL SHOPPING CENTER,174670,349,COUNTY LINE CENTER LLC,FL,"Delinquent ($18,500)",OZ: 98.07,3/6,"https://www.google.com/maps/search/?api=1&query=25.971738,-80.204146"
3555 NW 77 AVE,Miami,WAREHOUSE TERMINAL OR STG,171223,342,THE E T FAMILY PARTNERSHIP,FL,"Delinquent ($19,550)",OZ: 91,3/6,"https://www.google.com/maps/search/?api=1&query=25.805212,-80.319991"
21600 SW 104 CT,Homestead,MULTIFAMILY 10 UNITS PLUS,170958,341,CUTLER RIVERSIDE PRESERVATION LP,FL,"Delinquent ($18,500)",OZ: 106.09,3/6,"https://www.google.com/maps/search/?api=1&query=25.565203,-80.361192"
15455 W DIXIE HWY,Hialeah,WAREHOUSE TERMINAL OR STG,170932,341,NO MIAMI BEACH,FL,"Delinquent ($18,500)",OZ: 2.06,3/6,"https://www.google.com/maps/search/?api=1&query=25.917657,-80.159826"
7100 NW 37 AVE,Miami,PACKING PLANT,166162,332,OMNI REALTY INC,FL,"Delinquent ($18,500)",OZ: 9.03,3/6,"https://www.google.com/maps/search/?api=1&query=25.839071,-80.258433"
